image_id,shape,light_azimuth_deg,light_elevation_deg,sin_azimuth,cos_azimuth
Sphere_new_000000,Sphere,204.9,45.0,-0.42103581336749096,-0.907044014291465
Sphere_new_000001,Sphere,123.2,46.2,0.8367643134589617,-0.5475632234925502
Sphere_new_000002,Sphere,13.9,66.0,0.24022804247726373,0.9707164815781908
Sphere_new_000003,Sphere,269.8,55.8,-0.9999939076577904,-0.0034906514152236987
Sphere_new_000004,Sphere,160.5,46.4,0.3338068592337712,-0.9426414910921783
Sphere_new_000005,Sphere,64.1,68.8,0.8995577789551803,0.43680178836770234
Sphere_new_000006,Sphere,240.0,73.4,-0.8660254037844384,-0.5000000000000004
Sphere_new_000007,Sphere,314.5,53.5,-0.7132504491541813,0.7009092642998511
Sphere_new_000008,Sphere,191.8,64.5,-0.2044960518417903,-0.978867388761685
Sphere_new_000009,Sphere,274.3,45.0,-0.9971851335251157,0.07497872682632817
Sphere_new_000010,Sphere,76.5,68.1,0.9723699203976766,0.23344536385590547
Sphere_new_000011,Sphere,324.2,69.5,-0.5849576749872157,0.8110638189893264
Sphere_new_000012,Sphere,75.4,61.6,0.9677091704819712,0.2520693582431136
Sphere_new_000013,Sphere,284.1,49.9,-0.9698720152847466,0.243615011786023
Sphere_new_000014,Sphere,199.0,55.8,-0.32556815445715676,-0.9455185755993167
Sphere_new_000015,Sphere,108.8,50.6,0.9466492601156964,-0.322265695230511
Sphere_new_000016,Sphere,44.5,54.0,0.7009092642998509,0.7132504491541816
Sphere_new_000017,Sphere,215.4,60.7,-0.5792811723426788,-0.8151277957285542
Sphere_new_000018,Sphere,176.0,57.9,0.06975647374412552,-0.9975640502598242
Sphere_new_000019,Sphere,0.5,42.9,0.008726535498373935,0.9999619230641713
Sphere_new_000020,Sphere,136.2,43.1,0.6921431738704068,-0.7217602280983622
Sphere_new_000021,Sphere,126.3,48.8,0.8059282822485158,-0.5920131787992196
Sphere_new_000022,Sphere,279.8,66.2,-0.9854078984834902,0.1702094991660324
Sphere_new_000023,Sphere,308.9,40.2,-0.7782431485260214,0.6279630576493374
Sphere_new_000024,Sphere,118.8,67.7,0.8763066800438637,-0.48175367410171505
Sphere_new_000025,Sphere,181.2,36.0,-0.020942419883356867,-0.9997806834748455
Sphere_new_000026,Sphere,211.9,43.6,-0.528438334722347,-0.8489716876291415
Sphere_new_000027,Sphere,61.2,37.3,0.8763066800438637,0.48175367410171516
Sphere_new_000028,Sphere,111.6,55.0,0.9297764858882515,-0.36812455268467775
Sphere_new_000029,Sphere,324.9,68.5,-0.5750052520432788,0.8181497174250233
Sphere_new_000030,Sphere,203.0,40.3,-0.39073112848927355,-0.9205048534524404
Sphere_new_000031,Sphere,119.0,40.1,0.8746197071393959,-0.484809620246337
Sphere_new_000032,Sphere,82.5,59.8,0.9914448613738104,0.1305261922200517
Sphere_new_000033,Sphere,272.9,42.4,-0.9987193571841863,0.050592940076712646
Sphere_new_000034,Sphere,74.3,57.8,0.9626917464264787,0.27060044597586375
Sphere_new_000035,Sphere,301.8,66.5,-0.849892692986864,0.5269557954966775
Sphere_new_000036,Sphere,28.4,67.7,0.4756242090702752,0.8796485728666166
Sphere_new_000037,Sphere,227.0,55.3,-0.7313537016191705,-0.6819983600624986
Sphere_new_000038,Sphere,329.1,62.6,-0.5135412520581697,0.8580649057236448
Sphere_new_000039,Sphere,133.2,60.0,0.7289686274214118,-0.6845471059286884
Sphere_new_000040,Sphere,188.0,60.2,-0.13917310096006552,-0.9902680687415703
Sphere_new_000041,Sphere,47.2,67.3,0.7337298645028764,0.6794413042615165
Sphere_new_000042,Sphere,149.3,67.7,0.5105429179116054,-0.8598522715968736
Sphere_new_000043,Sphere,346.0,43.0,-0.24192189559966787,0.9702957262759965
Sphere_new_000044,Sphere,352.6,30.9,-0.1287955965775621,0.9916711623830905
Sphere_new_000045,Sphere,28.7,62.6,0.48022349744318893,0.8771461637055887
Sphere_new_000046,Sphere,16.5,60.3,0.28401534470392265,0.958819734868193
Sphere_new_000047,Sphere,170.5,40.9,0.16504760586067765,-0.9862856015372314
Sphere_new_000048,Sphere,115.9,39.2,0.8995577789551802,-0.43680178836770245
Sphere_new_000049,Sphere,116.6,58.2,0.8941542368393682,-0.4477590878387696
Sphere_new_000050,Sphere,4.9,49.4,0.08541692313736747,0.9963452961909064
Sphere_new_000051,Sphere,317.6,52.4,-0.674302387583723,0.7384553406258841
Sphere_new_000052,Sphere,129.7,57.3,0.7693995550468952,-0.6387678175155976
Sphere_new_000053,Sphere,86.0,39.9,0.9975640502598242,0.06975647374412523
Sphere_new_000054,Sphere,293.5,43.9,-0.917060074385124,0.39874906892524625
Sphere_new_000055,Sphere,184.1,48.8,-0.07149744433268579,-0.997440782930944
Sphere_new_000056,Sphere,50.0,62.2,0.766044443118978,0.6427876096865394
Sphere_new_000057,Sphere,36.2,56.9,0.5906056676199254,0.8069603121438019
Sphere_new_000058,Sphere,340.6,67.5,-0.33216113188370294,0.9432226579476011
Sphere_new_000059,Sphere,221.0,34.6,-0.656059028990507,-0.7547095802227721
Sphere_new_000060,Sphere,265.3,57.9,-0.9966373868180366,-0.08193850863004044
Sphere_new_000061,Sphere,43.7,35.6,0.6908824110768584,0.7229671459095681
Sphere_new_000062,Sphere,26.0,36.4,0.4383711467890774,0.898794046299167
Sphere_new_000063,Sphere,75.0,54.0,0.9659258262890683,0.25881904510252074
Sphere_new_000064,Sphere,218.9,56.8,-0.6279630576493381,-0.7782431485260208
Sphere_new_000065,Sphere,321.8,38.5,-0.6184083953575539,0.7858568931754021
Sphere_new_000066,Sphere,21.0,56.1,0.35836794954530027,0.9335804264972017
Sphere_new_000067,Sphere,97.1,48.5,0.9923319378854888,-0.12360147674049249
Sphere_new_000068,Sphere,265.6,65.7,-0.9970527522269202,-0.0767190281268185
Sphere_new_000069,Sphere,311.8,46.4,-0.7454759996828624,0.6665324702494523
Sphere_new_000070,Sphere,282.4,68.8,-0.9766722783341679,0.21473532716706287
Sphere_new_000071,Sphere,162.9,67.6,0.2940403252323037,-0.9557930147983302
Sphere_new_000072,Sphere,13.2,44.1,0.22835087011065572,0.9735789028731603
Sphere_new_000073,Sphere,75.2,32.8,0.9668233886044594,0.2554457579357905
Sphere_new_000074,Sphere,133.5,44.3,0.7253743710122879,-0.6883545756937538
Sphere_new_000075,Sphere,155.3,59.9,0.4178670738010767,-0.9085081775267219
Sphere_new_000076,Sphere,287.3,42.3,-0.9547607995027976,0.2973748740777857
Sphere_new_000077,Sphere,29.5,48.5,0.49242356010346716,0.8703556959398997
Sphere_new_000078,Sphere,118.0,48.7,0.8829475928589269,-0.4694715627858909
Sphere_new_000079,Sphere,241.3,56.4,-0.8771461637055887,-0.480223497443189
Sphere_new_000080,Sphere,29.9,30.4,0.49848773975383026,0.8668967489356028
Sphere_new_000081,Sphere,221.9,68.6,-0.6678325554710467,-0.744311546231154
Sphere_new_000082,Sphere,117.4,39.3,0.8878153851364013,-0.4601997847838516
Sphere_new_000083,Sphere,323.7,34.0,-0.5920131787992194,0.8059282822485159
Sphere_new_000084,Sphere,105.2,32.5,0.9650164944723114,-0.2621891786408648
Sphere_new_000085,Sphere,125.0,32.5,0.8191520442889917,-0.5735764363510462
Sphere_new_000086,Sphere,248.1,73.3,-0.9278362538989199,-0.3729877825758093
Sphere_new_000087,Sphere,141.0,39.5,0.6293203910498374,-0.7771459614569709
Sphere_new_000088,Sphere,196.5,50.0,-0.28401534470392276,-0.958819734868193
Sphere_new_000089,Sphere,184.1,49.6,-0.07149744433268579,-0.997440782930944
Sphere_new_000090,Sphere,106.2,36.6,0.9602936856769431,-0.27899110603922933
Sphere_new_000091,Sphere,150.8,66.5,0.48785965913873264,-0.8729220772698097
Sphere_new_000092,Sphere,148.5,41.9,0.5224985647159489,-0.8526401643540922
Sphere_new_000093,Sphere,58.8,70.5,0.8553642601605066,0.5180270093731303
Sphere_new_000094,Sphere,226.3,64.0,-0.7229671459095683,-0.6908824110768582
Sphere_new_000095,Sphere,118.0,43.9,0.8829475928589269,-0.4694715627858909
Sphere_new_000096,Sphere,45.2,62.5,0.709570736536521,0.7046342099635946
Sphere_new_000097,Sphere,169.0,66.0,0.19080899537654497,-0.981627183447664
Sphere_new_000098,Sphere,313.5,44.9,-0.7253743710122879,0.6883545756937537
Sphere_new_000099,Sphere,37.4,58.9,0.6073758397232867,0.7944146205354181
Sphere_new_000100,Sphere,166.9,65.4,0.22665130743685516,-0.9739759672790516
Sphere_new_000101,Sphere,235.3,68.2,-0.8221440410307376,-0.569279523430844
Sphere_new_000102,Sphere,337.2,56.7,-0.38751558645210327,0.9218631515885004
Sphere_new_000103,Sphere,166.9,64.0,0.22665130743685516,-0.9739759672790516
Sphere_new_000104,Sphere,205.6,60.6,-0.43208574880198236,-0.9018325264051138
Sphere_new_000105,Sphere,3.1,31.8,0.05407881298477529,0.9985366703262117
Sphere_new_000106,Sphere,351.9,55.0,-0.140901231937583,0.9900236577165575
Sphere_new_000107,Sphere,177.8,59.9,0.03838780908751989,-0.9992629164106211
Sphere_new_000108,Sphere,257.8,59.9,-0.9774158942860959,-0.2113247964553889
Sphere_new_000109,Sphere,217.3,41.1,-0.6059884002657112,-0.7954734808548958
Sphere_new_000110,Sphere,292.2,58.7,-0.9258705848099948,0.37784078681846683
Sphere_new_000111,Sphere,194.5,72.6,-0.25038000405444155,-0.9681476403781077
Sphere_new_000112,Sphere,311.7,32.8,-0.7466381822853915,0.6652303546543606
Sphere_new_000113,Sphere,99.6,72.6,0.985996037070505,-0.16676874671610223
Sphere_new_000114,Sphere,333.2,73.9,-0.45087754068943114,0.8925858184521253
Sphere_new_000115,Sphere,266.4,74.7,-0.9980267284282716,-0.0627905195293141
Sphere_new_000116,Sphere,78.9,67.0,0.9812926639922451,0.19252196652590745
Sphere_new_000117,Sphere,45.2,59.7,0.709570736536521,0.7046342099635946
Sphere_new_000118,Sphere,117.3,52.7,0.8886172326549487,-0.458649554484315
Sphere_new_000119,Sphere,279.9,38.5,-0.985109326154774,0.17192910027940927
Sphere_new_000120,Sphere,169.2,67.0,0.18738131458572502,-0.9822872507286886
