n_pca,layer,timestep,train_az,train_el,val_az,val_el,test_az,test_el,overfit_gap_az,overfit_gap_el,combined_val,score
1024,layer_10,t_200,6.618,3.270,15.062,7.142,14.163,6.729,8.444,3.872,11.102,14.181
256,layer_10,t_200,10.610,6.016,14.803,7.468,13.014,6.883,4.193,1.452,11.135,12.547
512,layer_10,t_200,9.267,5.101,15.261,7.328,12.732,6.924,5.994,2.227,11.295,13.350
1024,layer_18,t_200,6.221,3.033,16.099,6.525,14.537,6.550,9.878,3.493,11.312,14.655
512,layer_18,t_200,9.241,4.661,16.014,6.632,13.854,6.626,6.772,1.971,11.323,13.508
256,layer_04,t_200,11.115,6.233,15.319,7.808,14.333,7.132,4.205,1.574,11.563,13.008
1024,layer_04,t_200,6.858,3.332,16.185,7.324,14.470,7.017,9.327,3.992,11.755,15.085
512,layer_04,t_200,9.627,5.256,16.023,7.535,13.260,7.003,6.396,2.279,11.779,13.948
256,layer_18,t_200,11.200,5.888,17.049,7.101,13.423,7.083,5.849,1.213,12.075,13.840
256,layer_04,t_500,12.439,6.132,16.936,7.587,15.197,7.019,4.498,1.455,12.262,13.750
1024,layer_04,t_500,7.181,3.334,17.625,6.982,16.998,7.094,10.444,3.648,12.304,15.826
256,layer_18,t_500,12.473,6.492,16.134,8.625,14.674,8.032,3.660,2.133,12.380,13.828
512,layer_18,t_500,10.776,5.490,17.045,8.050,15.226,7.774,6.268,2.560,12.547,14.754
512,layer_10,t_500,10.224,5.227,17.840,7.766,14.955,7.637,7.616,2.539,12.803,15.341
1024,layer_10,t_500,7.075,3.427,18.332,7.341,16.167,7.567,11.256,3.913,12.836,16.629
256,layer_10,t_500,11.978,6.334,17.560,8.220,15.274,7.982,5.582,1.886,12.890,14.757
1024,layer_18,t_500,7.740,3.703,17.924,8.018,15.936,7.759,10.184,4.314,12.971,16.595
256,layer_10,t_800,13.280,5.155,19.638,6.418,14.867,6.029,6.359,1.264,13.028,14.934
512,layer_04,t_500,10.446,5.187,18.937,7.295,15.017,7.147,8.490,2.108,13.116,15.765
512,layer_10,t_800,10.937,4.570,19.971,6.453,15.358,5.806,9.034,1.883,13.212,15.941
1024,layer_10,t_800,7.471,3.232,20.200,6.444,15.110,6.156,12.729,3.212,13.322,17.307
256,layer_18,t_800,13.907,5.606,19.857,6.806,18.267,6.608,5.950,1.200,13.331,15.119
512,layer_18,t_800,11.736,4.868,20.897,6.883,17.809,6.588,9.161,2.015,13.890,16.685
1024,layer_04,t_800,8.182,3.396,20.796,7.186,18.795,6.574,12.614,3.790,13.991,18.092
256,layer_04,t_800,14.267,6.178,21.351,7.674,19.161,6.572,7.084,1.497,14.513,16.658
1024,layer_18,t_800,8.143,3.394,22.573,6.863,18.652,6.882,14.430,3.469,14.718,19.192
512,layer_04,t_800,11.765,5.255,22.537,7.279,18.064,6.425,10.771,2.024,14.908,18.107
