n_pca,layer,timestep,split,mae_azimuth,mae_elevation
256,layer_04,t_200,train,11.114840685839118,6.233314367022876
256,layer_04,t_200,val,15.319416324309476,7.807541708063431
256,layer_04,t_200,test,14.332686381049923,7.1320437449517655
256,layer_04,t_500,train,12.438644708624127,6.132263441989417
256,layer_04,t_500,val,16.936252912996597,7.587149259489713
256,layer_04,t_500,test,15.196803226817725,7.01877322104715
256,layer_04,t_800,train,14.26692198065735,6.177872425327065
256,layer_04,t_800,val,21.35077361559552,7.674434843819179
256,layer_04,t_800,test,19.16081717503854,6.572418196792533
256,layer_10,t_200,train,10.609584684697756,6.015815495905302
256,layer_10,t_200,val,14.80280781643713,7.467724416027199
256,layer_10,t_200,test,13.013947822599294,6.883431512790598
256,layer_10,t_500,train,11.977812483597331,6.333925155799119
256,layer_10,t_500,val,17.560168600661665,8.220359213307024
256,layer_10,t_500,test,15.274259939807278,7.9818185349249315
256,layer_10,t_800,train,13.279684719820885,5.154685684928033
256,layer_10,t_800,val,19.638304419380457,6.418445702804857
256,layer_10,t_800,test,14.867285099414955,6.0291688544177084
256,layer_18,t_200,train,11.200400006759049,5.888266345230043
256,layer_18,t_200,val,17.048961132495442,7.101205348671678
256,layer_18,t_200,test,13.422586991413377,7.082532796010533
256,layer_18,t_500,train,12.473343241823972,6.491966907501708
256,layer_18,t_500,val,16.13374322082323,8.625330218028676
256,layer_18,t_500,test,14.673520252416015,8.031874844443765
256,layer_18,t_800,train,13.907399089915248,5.605702753699381
256,layer_18,t_800,val,19.85705383182007,6.80570605702299
256,layer_18,t_800,test,18.26680431389018,6.607657589980545
512,layer_04,t_200,train,9.626884481326686,5.256166291634458
512,layer_04,t_200,val,16.022602482674788,7.535185905175264
512,layer_04,t_200,test,13.260415227392642,7.003493547484635
512,layer_04,t_500,train,10.446135432435945,5.186504497937067
512,layer_04,t_500,val,18.936564892129994,7.294788493224437
512,layer_04,t_500,test,15.016569737558024,7.146887995325974
512,layer_04,t_800,train,11.765239544293909,5.255121355278004
512,layer_04,t_800,val,22.53650739909633,7.279451908300023
512,layer_04,t_800,test,18.064319350347745,6.424928265023071
512,layer_10,t_200,train,9.267397960267543,5.1011879061926555
512,layer_10,t_200,val,15.261045304819389,7.328005355478808
512,layer_10,t_200,test,12.731774250063769,6.923787767938816
512,layer_10,t_500,train,10.224044453097774,5.227062353705551
512,layer_10,t_500,val,17.8399475781034,7.765678424186803
512,layer_10,t_500,test,14.95459916868549,7.636792298247132
512,layer_10,t_800,train,10.93707093994675,4.570443114384289
512,layer_10,t_800,val,19.971064790018023,6.453358488685433
512,layer_10,t_800,test,15.358267614480287,5.805840046781557
512,layer_18,t_200,train,9.241408840077746,4.660556291205052
512,layer_18,t_200,val,16.01371327099339,6.631537472737283
512,layer_18,t_200,test,13.853671815145638,6.625711116863713
512,layer_18,t_500,train,10.776269271184642,5.489720702328714
512,layer_18,t_500,val,17.044513595342796,8.049939635840683
512,layer_18,t_500,test,15.226160192835586,7.774313565107793
512,layer_18,t_800,train,11.735959344680763,4.867833478257548
512,layer_18,t_800,val,20.897375804064776,6.883256549654289
512,layer_18,t_800,test,17.8093048648833,6.5878413968514975
1024,layer_04,t_200,train,6.857976747808977,3.3321937210559844
1024,layer_04,t_200,val,16.185405909061434,7.3240329360961915
1024,layer_04,t_200,test,14.469804030716421,7.01667575263977
1024,layer_04,t_500,train,7.180913341626524,3.3343453769683844
1024,layer_04,t_500,val,17.625004155635835,6.982015964508057
1024,layer_04,t_500,test,16.99820088303089,7.0938849525451655
1024,layer_04,t_800,train,8.181998949116096,3.3962547461986543
1024,layer_04,t_800,val,20.7964545981884,7.186023225784302
1024,layer_04,t_800,test,18.794563350506127,6.573850917816162
1024,layer_10,t_200,train,6.61762784001138,3.270249441623688
1024,layer_10,t_200,val,15.06158097279072,7.1420215930938715
1024,layer_10,t_200,test,14.162551446199416,6.728865514755248
1024,layer_10,t_500,train,7.075299302022438,3.427332218170166
1024,layer_10,t_500,val,18.331657074451446,7.340581987380981
1024,layer_10,t_500,test,16.16662603902817,7.567478994369506
1024,layer_10,t_800,train,7.470520747877656,3.2320666232109065
1024,layer_10,t_800,val,20.199712259054184,6.443965131759644
1024,layer_10,t_800,test,15.110225766964259,6.156032245635986
1024,layer_18,t_200,train,6.221234024468808,3.0326866590976715
1024,layer_18,t_200,val,16.099298501968384,6.52527889251709
1024,layer_18,t_200,test,14.536864704489709,6.549663446426391
1024,layer_18,t_500,train,7.740141028419137,3.7032713685035707
1024,layer_18,t_500,val,17.923814317226412,8.017616245269775
1024,layer_18,t_500,test,15.935604849934576,7.759092603683471
1024,layer_18,t_800,train,8.143023813426028,3.393824637889862
1024,layer_18,t_800,val,22.57252453804016,6.862550249099732
1024,layer_18,t_800,test,18.65199517512322,6.881644399642944
